keyword,collocate,raw_frequency,MI
season,lenten,1,9.966092881410788
season,troopin',1,9.966092881410788
season,'close',1,9.966092881410788
season,supremest,1,9.272945700850842
season,dryest,1,8.579798520290897
season,malting,1,8.356654968976686
season,pasturing,1,8.356654968976686
season,blossoming,5,8.243326283669683
season,lambing,2,8.094290704509195
season,insufficiently,1,8.020182732355474
season,ductile,1,8.020182732355474
season,rainy,12,8.00834827470847
season,driest,1,7.886651339730951
season,unfashionable,1,7.568197608612416
season,busiest,1,7.4011435239492505
season,inclement,1,7.4011435239492505
season,culminated,1,7.327035551795528
season,grouse,2,7.193504159171005
season,dree,1,7.075721123514622
season,tha'rt,1,6.875050428052471
season,'stand,1,6.747217056542586
season,yachting,1,6.707996343389305
season,forbids,1,6.670256015406458
season,hunting,15,6.636272162590859
season,shearing,1,6.564895499748632
season,sociable,1,6.277213427296851
season,ef,1,6.252520814706479
season,cheerless,1,6.228423263127419
season,leafless,2,6.2165888054804155
season,bowling,1,6.204892765717225
season,wretchedly,1,6.137451484921692
season,festive,1,6.137451484921692
season,'lady,1,6.115945279700728
season,fertile,1,6.05406987598264
season,untimely,1,6.05406987598264
season,quickening,1,6.01484916282936
season,foggy,1,6.01484916282936
season,bloomed,1,6.01484916282936
season,shooting,7,5.993109176192954
season,wintry,2,5.986411227508826
season,advent,1,5.855219017237475
season,allows,1,5.807209798051115
season,transient,1,5.807209798051115
season,arrives,1,5.776438139384362
season,midsummer,1,5.717597639361427
season,cricket,1,5.703413004369471
season,agricultural,1,5.648604767874477
season,slack,1,5.5472522736141885
season,barbarous,1,5.535276082567473
season,due,9,5.421616764094952
season,impulsive,1,5.30265378729872
season,xiv,1,5.238705062698446
season,february,1,5.186969388299257
season,convenient,2,5.1179765168123055
season,sickly,1,5.11406261749117
season,perilous,1,5.010265823809526
season,autumn,3,5.000919961391288
season,london,32,4.994328361703524
season,winter,6,4.953237830576218
season,holiday,3,4.9444077511279465
season,parliamentary,1,4.909847076062479
season,suits,1,4.89091906617696
season,aristocratic,1,4.884688516426324
season,holidays,1,4.872342680604024
season,ending,1,4.848099068994031
season,bears,1,4.812801286913008
season,developed,1,4.778707075570032
season,exhibition,1,4.762086194333992
season,ambitious,1,4.751157123801801
season,september,1,4.708597509383005
season,favoured,1,4.6382167126212055
season,unlucky,1,4.600116866388936
season,mournful,1,4.502261076385176
season,goodly,1,4.4854539580687955
season,fishing,1,4.4771551552541
season,dry,4,4.445632463882124
season,brief,3,4.434021784436525
season,holds,1,4.37510590089993
season,apple,1,4.349321783744216
season,sunny,1,4.324185810472673
season,begins,1,4.320645983767549
season,'don't,1,4.3171186432495805
season,hasty,1,4.289339079142505
season,prime,1,4.272360742608087
season,quoth,1,4.232751604513042
season,closing,1,4.219889690870634
season,proper,3,4.2103506678238745
season,bills,1,4.194651758280771
season,summer,4,4.185349365618458
season,suited,1,4.185349365618458
season,hay,1,4.10246170581269
season,spring,3,4.089291242622944
season,fashionable,1,4.044514461766972
season,lodging,1,4.036503738020892
season,grandmother,1,4.012849547123003
season,christopher,1,3.997385321425421
season,wet,2,3.979640876126349
season,crowded,1,3.9646780034496367
season,pronounced,1,3.9646780034496367
season,visitors,1,3.9187207023645088
season,christmas,1,3.91400371248637
season,bath,1,3.9116535351414163
season,next,12,3.905802143372952
season,slip,1,3.8999847913070393
season,approaching,1,3.8524107015785556
season,unusual,1,3.8348663919276462
season,stirred,1,3.8091138958252313
season,idle,1,3.79230677750885
season,comes,5,3.7712794103167746
season,adrian,1,3.731682155692415
season,active,1,3.6951044495524874
season,dull,2,3.665307086747543
season,yonder,1,3.6507348798884522
season,arose,1,3.6187036717547767
season,affected,1,3.5235527149425883
season,precious,1,3.5046247050570694
season,'if,1,3.4799320924666977
season,advanced,1,3.4768879500854695
season,admitted,1,3.4723390415591004
season,wretched,1,3.455834540887637
season,abroad,1,3.426506925793117
season,'the,2,3.4236209209039825
season,utterly,1,3.4022373548786593
season,dangerous,1,3.396611460996491
season,evil,2,3.378542866585991
season,splendid,1,3.3703123674494755
season,bright,3,3.3179722623252745
season,special,1,3.260453786550784
season,ended,1,3.253136680733717
season,'a,1,3.253136680733717
season,jude,1,3.2303128671684602
season,brilliant,1,3.2208565319264246
season,favour,1,3.216161687622217
season,madam,1,3.194157325571185
season,ordinary,1,3.1681524684358564
season,second,3,3.164439133311195
season,th',1,3.1548485028094935
season,working,1,3.1341393158449318
season,upstairs,1,3.103334968359386
season,whole,5,3.0738574140866866
season,meanwhile,1,3.05833760242865
season,this,51,3.009640813300137
season,obliged,1,2.961210891697927
season,first,12,2.9583414492699744
season,worst,1,2.955781014103558
season,early,2,2.901761295386553
season,single,1,2.868544030795994
season,sharp,1,2.8343943709438757
season,everybody,1,2.828814444150401
season,terrible,1,2.827225881465263
season,major,1,2.8232654802491663
season,telling,1,2.803695384055069
season,allowed,1,2.779191860999155
season,jane,1,2.774663551374408
season,darrell,1,2.766414535719614
season,'but,1,2.7649219981291084
season,goes,1,2.744987783228291
season,forgotten,1,2.743526862588616
season,dead,3,2.7290338552860494
season,present,3,2.713094419452337
season,holding,1,2.706976753313686
season,wonderful,1,2.706976753313686
season,rooms,1,2.699964101854336
season,quietly,1,2.675118103267805
season,lucy,1,2.648880473050948
season,particular,1,2.6350325761921543
season,past,2,2.576837808044488
season,philip,1,2.5497144022178593
season,fresh,1,2.5383540408778935
season,simple,1,2.537165686608515
season,instead,1,2.507330189029827
season,fine,2,2.503877941642598
season,cause,1,2.485664575336579
season,happy,2,2.484255529027644
season,night,6,2.4757496124357683
season,every,5,2.4686638303449806
season,its,7,2.446323008959391
season,pleasant,1,2.4350765493328708
season,worse,1,2.4297289430062756
season,natural,1,2.423879418217384
season,week,1,2.3317556457824673
season,happened,1,2.2394392165631443
season,an',1,2.2197922191793475
season,thy,1,2.17705247975331
season,when,17,2.174302718320486
season,stand,1,2.1700349070946636
season,drew,1,2.113653796053277
season,green,1,2.092114501806286
season,become,1,2.07551034675425
season,appeared,1,2.059545649042751
season,added,1,2.049285390473184
season,late,1,2.03122131546561
season,fair,1,2.0075159775968885
season,since,2,1.9821413530448722
season,bad,1,1.980608524676964
season,cold,1,1.9667499286975045
season,the,236,1.9503205252109208
season,last,4,1.9278229814149386
season,one,14,1.9225442250152256
season,short,1,1.8967505145991517
season,ought,1,1.8449096393319586
season,let,3,1.8354449132502029
season,before,5,1.6782122304542884
season,yet,3,1.59964506335376
season,right,2,1.5979799130087022
season,among,1,1.5767330615044344
season,under,2,1.559607811978971
season,god,1,1.5454105903753932
season,table,1,1.54365002654036
season,coming,1,1.5322812989336003
season,',10,1.5073766197535252
season,leave,1,1.4597584333294253
season,in,44,1.4467519979370904
season,which,11,1.4433153117006485
season,or,8,1.439320715214226
season,brought,1,1.419340887753005
season,really,1,1.400300020158487
season,good,4,1.3992527501051355
season,for,21,1.3904241545222598
season,nor,1,1.3900649042736568
season,their,5,1.3696819378879206
season,of,71,1.367852070296186
season,but,17,1.3618157666168647
season,came,3,1.35954661248254
season,and,84,1.3511768386088197
season,without,2,1.3422899549362912
season,each,1,1.3370005974971406
season,through,2,1.3344109635098516
season,was,31,1.2591328003262217
season,a,51,1.2461765567699594
season,miss,2,1.2275978335597109
season,that,28,1.1997041716853105
season,sure,1,1.1933276714610022
season,indeed,1,1.1688466447072596
season,if,7,1.124665296548157
season,they,7,1.1107553826752516
season,between,1,1.0892691182301844
season,lord,1,1.0730693870160757
season,had,16,0.9610791659699974
season,half,1,0.9321317567729295
season,told,1,0.9274902726889137
season,other,2,0.911821695084493
season,better,1,0.8942103025821712
season,going,1,0.8638946680543071
season,people,1,0.850722747025831
season,took,1,0.8502829932808375
season,things,1,0.7792258656202461
season,how,2,0.7786629610177104
season,quite,1,0.7265821321348243
season,at,9,0.7034552747193868
season,why,1,0.689122427136841
season,those,1,0.6876266803870036
season,being,1,0.6665518639763022
season,take,1,0.6471671990211633
season,there,4,0.6408848304147484
season,is,7,0.6152082644422957
season,who,3,0.6026309303785179
season,just,1,0.5910010738341134
season,on,7,0.5759937576312756
season,would,4,0.5729519007376709
season,i,20,0.5675110101296592
season,still,1,0.506161788105546
season,with,9,0.4715849389495195
season,may,1,0.46129345270379934
season,looked,1,0.4361358184524773
season,long,1,0.42056681433885634
season,went,1,0.3821909503394479
season,it,11,0.3572692938704554
season,mrs,1,0.3352017639083988
season,he,13,0.3229466408909249
season,too,1,0.30264074785908673
season,don't,1,0.29756845699421075
season,two,1,0.2972522914472981
season,them,2,0.268461668802277
season,are,2,0.257070319615306
season,our,1,0.25231410410263116
season,she,8,0.21043126048954472
season,such,1,0.20301748259140381
season,might,1,0.20117797873859863
season,by,3,0.15388032765027104
season,much,1,0.12879855160945777
season,over,1,0.1231518287426925
season,all,3,0.09316763445729885
season,to,20,0.08032133468043882
season,as,6,0.07647608456045042
season,my,4,0.07083913380176235
season,has,1,0.051220384008095254
season,any,1,0.011247036599516662
season,only,1,0.01115204728574305
season,never,1,-0.0009326919293288984
season,than,1,-0.10722183033760715
season,no,2,-0.11258670650635841
season,were,2,-0.12352147876027482
season,some,1,-0.13964139672656575
season,mr,1,-0.32957188490657024
season,little,1,-0.33985527021320694
season,then,1,-0.3543600634037124
season,more,1,-0.35791258185979813
season,now,1,-0.380091335838833
season,very,1,-0.3970322581218986
season,will,1,-0.41114128664991106
season,not,3,-0.43268017020959915
season,do,1,-0.45589080119555164
season,said,2,-0.4832591995358477
season,out,1,-0.48586284031584265
season,we,1,-0.5418199216244819
season,his,4,-0.5739185887441959
season,what,1,-0.7123061534879261
season,you,3,-0.8202664934540512
season,from,1,-0.8945393970077623
season,her,3,-0.9008106899661884
season,so,1,-0.9794895169582791
